player_name;club;position;height_cm;weight_kg;age;nationality;season;matches_played;matches_started;minutes_played;points_scored;tries;penalties_scored;penalty_attempts;penalty_success_rate;conversion_attempts;conversion_success_rate;balls_kicked;meters_kicked;tackles_broken;passes;carries;meters_carried;line_breaks;offloads;drop_success_rate;turnovers_won;interceptions;tackles_made;tackle_success_rate;penalties_conceded;yellow_cards;orange_cards;red_cards;points_per_match;tries_per_match;tackles_per_match;meters_per_match;meters_per_carry;minutes_per_match;tackle_efficiency
Charles Ollivon;RC Toulon;3ème ligne;199;114;31;France;2024-2025;11;10;693;0;0;0;0;0;0;0;0;0;11;50;67;372;3;8;0;0;0;126;81;13;2;0;0;0.0;0.0;11.454545454545455;33.81818181818182;5.470588235294118;63.0;102.06
Komiti Junior Alainuuese;RC Toulon;2ème ligne;202;136;29;Samoa;2023-2024;19;14;1063;10;2;0;0;0;0;0;1;0;5;57;121;558;1;22;0;1;0;118;78;8;0;0;1;0.5263157894736842;0.10526315789473684;6.2105263157894735;29.36842105263158;4.573770491803279;55.94736842105263;92.04
Komiti Junior Alainuuese;RC Toulon;2ème ligne;202;136;30;Samoa;2024-2025;22;12;1125;10;2;0;0;0;0;0;2;97;8;56;114;479;0;15;0;1;0;147;82;10;0;0;0;0.45454545454545453;0.09090909090909091;6.681818181818182;21.772727272727273;4.165217391304348;51.13636363636363;120.54
Esteban Abadie;RC Toulon;3ème ligne;188;100;25;France;2023-2024;17;16;1260;5;1;0;0;0;0;0;3;52;11;102;82;462;4;4;0;7;1;149;83;8;0;0;0;0.29411764705882354;0.058823529411764705;8.764705882352942;27.176470588235293;5.566265060240964;74.11764705882354;123.67
Esteban Abadie;RC Toulon;3ème ligne;188;100;26;France;2024-2025;22;20;1635;5;1;0;0;0;0;0;3;39;16;144;109;517;6;16;0;3;2;211;81;18;2;0;0;0.22727272727272727;0.045454545454545456;9.590909090909092;23.5;4.7;74.31818181818181;170.91
Beka Gigashvili;RC Toulon;Pilier;179;116;31;Georgia;2023-2024;21;17;1150;5;1;0;0;0;0;0;0;0;11;40;105;484;2;2;0;3;0;186;82;16;0;0;0;0.23809523809523808;0.047619047619047616;8.857142857142858;23.047619047619047;4.566037735849057;54.76190476190476;152.52
Beka Gigashvili;RC Toulon;Pilier;179;116;32;Georgia;2024-2025;15;12;769;10;2;0;0;0;0;0;0;0;6;24;64;305;0;2;0;1;0;117;80;6;0;0;0;0.6666666666666666;0.13333333333333333;7.8;20.333333333333332;4.6923076923076925;51.266666666666666;93.6
Romain Buros;Union Bordeaux-Bègles;Arrière;187;90;26;France;2023-2024;23;21;1610;25;5;0;0;0;0;0;101;3687;38;133;230;1739;13;21;0;2;0;55;59;2;0;0;0;1.0869565217391304;0.21739130434782608;2.391304347826087;75.6086956521739;7.528138528138528;70.0;32.45
Romain Buros;Union Bordeaux-Bègles;Arrière;187;90;27;France ;2024-2025;17;16;1154;30;6;0;0;0;0;0;45;1637;22;141;154;1209;11;25;0;0;0;53;72;1;0;0;0;1.7647058823529411;0.35294117647058826;3.1176470588235294;71.11764705882354;7.8;67.88235294117646;38.16
Paul Costes;Stade Toulousain;Centre;182;85;20;France;2023-2024;16;8;778;5;1;0;0;0;0;0;9;188;25;67;95;778;5;17;0;1;0;74;69;10;1;0;0;0.3125;0.0625;4.625;48.625;8.104166666666666;48.625;51.06
Paul Costes;Stade Toulousain;Centre;182;85;21;France ;2024-2025;18;14;1023;10;2;0;0;0;0;0;11;186;29;96;99;932;6;11;0;1;0;88;76;9;1;0;0;0.5555555555555556;0.1111111111111111;4.888888888888889;51.77777777777778;9.32;56.833333333333336;66.88
Max Spring;Racing 92;Arrière;173;75;22;France;2023-2024;21;16;1300;10;2;0;0;0;0;0;69;2345;45;303;162;1338;8;7;0;1;1;50;60;4;0;0;0;0.47619047619047616;0.09523809523809523;2.380952380952381;63.714285714285715;8.208588957055214;61.904761904761905;30.0
Max Spring;Racing 92;Arrière;173;75;23;France;2024-2025;22;18;1415;10;2;0;0;0;0;0;72;2397;69;113;173;1873;26;10;0;1;3;66;54;3;0;0;0;0.45454545454545453;0.09090909090909091;3.0;85.13636363636364;10.764367816091953;64.31818181818181;35.64
