player_name;club;position;height_cm;weight_kg;age;nationality;season;matches_played;matches_started;minutes_played;points_scored;tries;penalties_scored;penalty_attempts;penalty_success_rate;conversion_attempts;conversion_success_rate;balls_kicked;meters_kicked;tackles_broken;passes;carries;meters_carried;line_breaks;offloads;drop_success_rate;turnovers_won;interceptions;tackles_made;tackle_success_rate;penalties_conceded;yellow_cards;orange_cards;red_cards
Jean Baptiste Gros;RC Toulon;Pilier;186;112;24;France;2023-2024;12;6;502;0;0;0;0;0;0;0;0;0;5;7;43;185;0;0;0;0;0;83;85;10;1;0;0
Jean Baptiste Gros;RC Toulon;Pilier;186;112;25;France;2024-2025;13;10;610;0;0;0;0;0;0;0;0;0;3;12;44;211;1;4;0;0;0;95;86;10;0;0;1
Setariki Tuicuvu;RC Toulon;Centre;175;94;28;Fiji;2023-2024;25;20;1519;30;6;0;0;0;0;0;15;463;31;67;107;943;8;9;0;4;1;106;72;7;1;0;0
Setariki Tuicuvu;RC Toulon;Centre;175;94;29;Fiji;2024-2025;21;11;1123;25;5;0;0;0;0;0;15;408;35;55;106;904;11;17;0;1;1;64;70;4;0;0;0
Charles Ollivon;RC Toulon;3ème ligne;199;114;30;France;2023-2024;12;11;841;5;1;0;0;0;0;0;0;0;10;70;94;466;4;12;0;0;0;129;82;9;1;0;0
Charles Ollivon;RC Toulon;3ème ligne;199;114;31;France;2024-2025;11;10;693;0;0;0;0;0;0;0;0;0;11;50;67;372;3;8;0;0;0;126;81;13;2;0;0
Komiti Junior Alainuuese;RC Toulon;2ème ligne;202;136;29;Samoa;2023-2024;19;14;1063;10;2;0;0;0;0;0;1;0;5;57;121;558;1;22;0;1;0;118;78;8;0;0;1
Komiti Junior Alainuuese;RC Toulon;2ème ligne;202;136;30;Samoa;2024-2025;22;12;1125;10;2;0;0;0;0;0;2;97;8;56;114;479;0;15;0;1;0;147;82;10;0;0;0
Esteban Abadie;RC Toulon;3ème ligne;188;100;25;France;2023-2024;17;16;1260;5;1;0;0;0;0;0;3;52;11;102;82;462;4;4;0;7;1;149;83;8;0;0;0
Esteban Abadie;RC Toulon;3ème ligne;188;100;26;France;2024-2025;22;20;1635;5;1;0;0;0;0;0;3;39;16;144;109;517;6;16;0;3;2;211;81;18;2;0;0
Beka Gigashvili;RC Toulon;Pilier;179;116;31;Georgia;2023-2024;21;17;1150;5;1;0;0;0;0;0;0;0;11;40;105;484;2;2;0;3;0;186;82;16;0;0;0
Beka Gigashvili;RC Toulon;Pilier;179;116;32;Georgia;2024-2025;15;12;769;10;2;0;0;0;0;0;0;0;6;24;64;305;0;2;0;1;0;117;80;6;0;0;0
Romain Buros;Union Bordeaux-Bègles;Arrière;187;90;26;France;2023-2024;23;21;1610;25;5;0;0;0;0;0;101;3687;38;133;230;1739;13;21;0;2;0;55;59;2;0;0;0
Romain Buros;Union Bordeaux-Bègles;Arrière;187;90;27;France ;2024-2025;17;16;1154;30;6;0;0;0;0;0;45;1637;22;141;154;1209;11;25;0;0;0;53;72;1;0;0;0
Paul Costes;Stade Toulousain;Centre;182;85;20;France;2023-2024;16;8;778;5;1;0;0;0;0;0;9;188;25;67;95;778;5;17;0;1;0;74;69;10;1;0;0
Paul Costes;Stade Toulousain;Centre;182;85;21;France ;2024-2025;18;14;1023;10;2;0;0;0;0;0;11;186;29;96;99;932;6;11;0;1;0;88;76;9;1;0;0
Max Spring;Racing 92;Arrière;173;75;22;France;2023-2024;21;16;1300;10;2;0;0;0;0;0;69;2345;45;303;162;1338;8;7;0;1;1;50;60;4;0;0;0
Max Spring;Racing 92;Arrière;173;75;23;France;2024-2025;22;18;1415;10;2;0;0;0;0;0;72;2397;69;113;173;1873;26;10;0;1;3;66;54;3;0;0;0
Vinaya Habosi;Racing 92;Ailier;184;100;23;France;2023-2024;10;9;632;5;1;0;0;0;0;0;7;217;25;12;61;643;2;4;0;4;0;35;74;3;0;0;0
Vinaya Habosi;Racing 92;Ailier;184;100;24;France;2024-2025;19;17;1324;15;3;0;0;0;0;0;10;265;45;36;153;1284;9;14;0;4;0;88;66;18;2;0;0
Josua Tuisova;Racing 92;Ailier;180;113;29;Fiji;2023-2024;5;5;363;10;2;0;0;0;0;0;0;0;10;18;48;422;4;5;0;0;1;16;76;1;0;0;0
Josua Tuisova;Racing 92;Ailier;180;113;30;Fiji;2024-2025;23;22;1560;15;3;0;0;0;0;0;6;212;82;60;186;1889;18;17;0;7;0;117;74;13;1;0;0
Gael Fickou;Racing 92;Centre;190;99;29;France;2023-2024;15;14;1119;10;2;0;0;0;0;0;14;475;27;94;100;889;4;9;0;3;0;107;75;9;0;0;0
Gael Fickou;Racing 92;Centre;190;99;30;France;2024-2025;20;17;1383;27;5;0;0;0;1;100;14;284;36;129;118;957;8;16;0;5;2;143;76;11;1;0;0
Ibrahim Diallo;Racing 92;3ème ligne;192;108;25;France;2023-2024;18;12;984;0;0;0;0;0;0;0;0;0;18;42;78;419;0;1;0;1;0;147;86;13;1;0;0
Ibrahim Diallo;Racing 92;3ème ligne;192;108;26;France;2024-2025;22;18;1349;10;2;0;0;0;0;0;0;0;19;43;128;716;3;1;0;2;0;213;82;17;1;0;1
Maxime Baudonne;Racing 92;3ème ligne;190;95;21;France;2023-2024;25;13;1157;20;4;0;0;0;0;0;2;15;6;93;92;551;1;4;0;4;0;176;84;9;0;0;0
